num,school,department,discipline_name,gsat,chi,eng,math_a,math_b,phy,che,bio,his,geo,cit,ele,same_1,same_2,same_3,rank_108,select_score_108,ori_score_108,avg_108,num_want_108,num_sel_108,low_108,high_108,people_in_108,percent_in_108,rank_107,select_score_107,ori_score_107,avg_107,num_want_107,num_sel_107,low_107,high_107,people_in_107,percent_in_107,profile
1135,實踐大學,資訊模擬與設計學系電腦動畫設計組(高雄校區),建築與設計,,2,,,,,,,1.75,1.75,,,國文,歷史,地理,17,311.93,170.14,56.71,11,11,168.01,171,15161,0.619,16,226.35,123.46,41.15,27,27,123.01,126,22669,84.22,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/05030.html
1136,銘傳大學,數位媒體設計學系多媒體遊戲組(桃園校區),建築與設計,,1.5,1.5,,,,,,1,,,,國文,英文,歷史,57,226.38,169.78,56.59,11,11,168.01,171,13212,0.5132,47,192.65,144.49,48.16,15,15,144.01,147,15729,55.65,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04622.html
1137,大同大學,媒體設計學系數位遊戲設計組(社會組一),建築與設計,,1.75,2,,2,,,,,,,,國文,英文,數乙,239,325,169.57,56.52,12,12,168.01,171,18236,0.514,179,286.4,149.43,49.81,9,9,147.01,150,19960,52.36,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/01904.html
1138,元智大學,藝術與設計學系,建築與設計,,1,1,,1,,,,1,1,,,英文,國文,數乙,138,281.55,281.55,56.31,17,17,280.01,285,11147,0.4701,145,260.8,260.8,52.16,16,16,260.01,265,13028,49.63,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04021.html
1139,銘傳大學,商品設計學系(桃園校區),建築與設計,,1.5,1.25,,,,,,1,,,,國文,英文,歷史,58,210.75,168.6,56.2,33,34,168.01,171,13212,0.5132,167,283.23,236.03,47.21,41,41,235.01,240,15554,59.26,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04614.html
1140,東海大學,工業設計學系,建築與設計,,2,2,1.75,,1,,,,,,,英文,國文,數甲,45,378.5,224.3,56.07,24,25,224.01,228,10314,0.4914,34,349.9,207.35,51.84,24,24,204.01,208,11307,55.57,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/00915.html
1141,國立屏東大學,視覺藝術學系造形藝術組,建築與設計,,1.5,1.5,,,,,,,,,2,術科,國文,英文,6,279.43,167.66,55.89,5,5,166.01,168,12,0.0146,6,254.4,152.64,50.88,8,8,152.01,154,21,1.9,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/03633.html
1142,實踐大學,資訊模擬與設計學系互動遊戲設計組(高雄校區),建築與設計,,2,,,,,,,1.75,1.75,,,國文,歷史,地理,18,306.85,167.37,55.79,10,10,165.01,168,15707,0.6413,18,214.9,117.22,39.07,27,27,117.01,120,23323,86.65,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/05042.html
1143,中原大學,商業設計學系產品設計組,建築與設計,,2,2,1,,1,1,,,,,,數甲,英文,國文,229,385.1,275.07,55.01,14,14,275.01,280,10631,0.5161,,,,,,,,,,,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/00837.html
1144,大同大學,媒體設計學系互動媒體設計組(社會組一),建築與設計,,1.75,2,,2,,,,,,,,國文,英文,數乙,250,315.3,164.5,54.83,15,15,162.01,165,19415,0.5472,190,280.3,146.24,48.75,11,11,144.01,147,20550,53.91,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/01913.html
